ID,text_to_phonetise,phoneme_sequence
line_1,اِذَا مُمْكِن، أَنَا بَفَضِّل مَا تِخْلَع السِّنّ.,' i z aa m u m k i n ' a n aa b a f a DD l m aa t i x l A E i ss nn
line_2,رَاح أَرَاهِن بِتَلَاتِة دُولَار عَلَى هَاد.,r aa H ' a r aa h i n b i t a l aa t i t d u w l aa r E a l aa h aa d
line_3,أَنَا عَم بِتْخَرْبِط. بِتْمَانِع تِرْسُمْلِي خَرِيطَة؟,' a n aa E a m b i t x A r b i T b i t m aa n i E t i r s u m l i y x A r I y T A t
line_4,الْقَهْوِة مِش مَشْمُولِة؟,i l ' A h w i t m i $ m a $ m u w l i t
line_5,بِدِّي أَمَدِّد قَعْدِتِي هُون لَكَمَان يُومَيْن.,b i dd i ' a m a dd d ' A E d i t i y h u w n l a k a m aa n y u w m a y n
line_6,لِسَّا حَاسِس حَالِي بِدِّي أَسْتَفْرِغ.,l i ss aa H aa s i s H i l i y b i dd i ' a s t a f r i g
line_7,أَنَا فَاتِح الأَرْبْعَا الصُّبح أَو الجُمْعَة بَعِد الظُّهُر.,' a n aa f aa t i H i l ' a r b E aa i SS bb H ' a w i l j u m E a t b a E i d i zz hh u r
line_8,أَنَا بَحْكِي مَعَك مِن كِشْك عَامّ فِي مِيسِي.,' a n aa b a H k i y m a E a k m i n k i $ k E aa mm f i y m i y s i y
line_9,هَاي الغُرْفِة رَقم اتْنَيْن صِفِر وَاحَد. بِدِّي أَطْلُب فْطُور بُكْرَا.,h ay i l g U r f i t r a ' m aa t n a y n S I f i r w aa H a d b i dd i ' a T l U b f T U w r b u k r aa
line_10,أَنَا عَطْشَان.,' a n aa E a T $ aa n
line_11,متَى بِتِسْكِّر؟,m t aa b i t i s kk r
line_12,لَو سَمَحْت وَرَجِّينِي جَوَاز سَفَرَك.,l a w s a m a H t w a r a jj y n i y j a w aa z s a f a r a k
line_13,أَنَا لَازِم أَرُوح. رَاح أَحْكِي مَعَك بَعْدِين.,' a n aa l aa z i m ' a r u w H r aa H ' a H k i y m a E a k b a E d i y n
line_14,شُو إِسْم الشَّخْص اللِّي بِتْحِبّ تِحْكِي مَعُه؟,$ uu ' i s m i $$ xx S i ll y b i t H i bb t i H k i y m a E u h
line_15,مُمْكِن تِحْكِيه مَرِّة تَانْيِة؟,m u m k i n t i H k i y h m a rr t t aa n y i t
line_16,شُو نَوْع الخُبِز اللِّي عِنْدَك؟,$ uu n a w E i l x U b i z i ll y E i n d a k
line_17,أَنَا بَشْتَغِل بِشِرْكِة تِجَارِيِّة.,' a n aa b a $ t a g I l b i $ i r k i t t i j aa r i yy t
line_18,مُمْكِن تِيجِي هُون بْأَسْرَع وَقِت، لَو سَمَحْت؟,m u m k i n t i y j i y h u w n b ' a s r a E w a ' I t l a w s a m a H t
line_19,أَنَا حَسَّبْتْهُم حَوَالَِي مِيِّة وْخَمْسِين رِطِل.,' a n aa H a ss b t h u m H a w aa l a i y m i yy t w x A m s i y n r i T I l
line_20,أَنَا لِسَّا مَا قَرَّرِت لَهَلَّأ. مُمْكِن تِعْطِينِي شْوَيِّة وَقِت أَكْتَر؟,' a n aa l i ss aa m aa ' A rr r I t l a h a ll ' m u m k i n t i E T I y n i y $ w a yy t w a ' I t ' a k t a r
line_21,بِدِّي اِسْتَأْجِر سَيَّارَة أُوتُومَاتِيك لَيُومَيْن.,b i dd i ' i s t a ' j i r s a yy aa r a t ' u w t u w m aa t i y k l a y u w m a y n
line_22,لَو سَمَحْت. بِدِّي أَحُطّ طَلَبِيِّة.,l a w s a m a H t b i dd i ' a H u TT T A l A b i yy t
line_23,هَاد بَسّ دَلِيْل عَلَى تَقْدِيْرِي.,h aa d b a s d a l i y l E a l aa t a ' d i y r i y
line_24,لَمَّا تُوْصَل هُنَاك، اِسْأَل حَدّ تَانِي، لَو سَمَحْت.,l a mm aa t u w S A l h u n aa k ' i s ' a l H a dd t aa n i y l a w s a m a H t
line_25,هَاد مِش طَلَب حَدَا تَانِي غَيْرِي؟,h aa d m i $ T A l A b H a d aa t aa n i y g A y r I y
line_26,رَاح نْضَل نِحْكِي هِيك وَيْن مَا نْرُوح؟,r aa H n D A l n i H k i y h i y k w ein m aa n r u w H
line_27,مِيْن صَاحْبَك المُفَضَّل؟,m i y n S aa H b a k i l m u f a DD l
line_28,مُمْكِن تْفَرْجِينِي الْحَلْقَة التَّانْيِة مِن الْيَسَار؟,m u m k i n t f a r j i y n i y i l H a l ' A t i tt aa nn y i t m i n i l y a s aa r
line_29,وَبَعْدِين رَاح نَاخْدُه.,w a b a E d i y n r aa H n aa x d u h
line_30,مِش فَاهْمِة شَرْحِك.,m i $ f aa h m i t $ a r H i k
line_31,قَدِّيْش مَرْتَك طَبَّاخَة رَائِعَة.,' A dd y $ m a r t a k T A bb aa x A t r aa ' i E a t
line_32,مُمْكِن تِْعِيرْنِي القِطْعَة اللِّي بْتْرْفَع الحَبْل، لَو سَمَحْت؟,m u m k i n t i E i y r n i y i l ' I T E a t i ll y b t r f a E i l H a b l l a w s a m a H t
line_33,رَاح عَلَى المَوْقِف.,r aa H E a l aa i l m a w ' I f
line_34,مِش مَرْغُوب بِنِسْبِة كْبِيرَة.,m i $ m a r g U w b b i n i s b i t k b i y r a t
line_35,اُه، يَالا. دُولَارَيْن بَسّ.,' u h y i l aa d u w l aa r a y n b a s
line_36,فِي حَدّ اقْتَحَم غُرْفِتِي اللَّيْلِة المَاضْيِة.,f i y H a dd aa ' t a H a m g U r f i t i y i ll y l i t i l m aa D y I t
line_37,شِيكَّات سِيَاحِيِّة. شُكْراً إِلَك. هِيّ تَذْكَرْتَك وبِطَاقَة الصُّعُوْد تَبَعَك. كُون هُنَاك، لَو سَمَحْت، قَبِل بِسَاعَة وَحْدِة مِن رِحْلِة الطَّيَرَان.,$ i y kk aa t s i y aa H i yy t $ u k r a n ' i l a k h i yy t a z k a r t a k w b i T aa ' A t i SS EE u w d t a b a E a k k u w n h u n aa k l a w s a m a H t ' A b i l b i s aa E a t w a H d i t m i n r i H l i t i TT y A rr aa n
